Country.ID,Year,grgdp_p,cpi,interestrate,unem,savingrate,r_young,r_mid,r_old,r_imm
ISL,2014,0.4442089302303165,2.035,6.0525,5.508,21.627,0.18887095912369756,0.5653240716003206,0.12893675813900232,0.1168682111369795
ISL,2015,3.3678889732803974,1.631,5.891666667,4.592,25.03,0.18661193558572778,0.5633937298969789,0.1319347396824006,0.11805959483489273
ISL,2016,5.321598143740469,1.693,6.279166667,3.442,29.181,0.18291939023790613,0.5509240151561431,0.13401743582255451,0.1321391587833962
ISL,2017,2.1671203470119416,1.768,5.063333333,3.3,25.962,0.1791169077653723,0.541705782439165,0.13475736577286215,0.14441994402260053
ISL,2018,1.9232105423085728,2.677,4.7225,3.133,26.368,0.17498512132496727,0.5339758086914135,0.1354982514014295,0.15554081858218982
ISL,2019,-0.2621871781593232,3.006,4.393333333,3.9,27.221,0.17149483157032377,0.5247068543205632,0.1370290227738048,0.16676929133530818
ISL,2020,-8.142729853019004,2.848,2.006666667,6.267,22.422,0.16954207968053595,0.5125977185813962,0.1394054782414201,0.1784547234966477
ISL,2021,3.7858203450025663,4.458,1.789166667,5.842,20.179,0.16879000975463143,0.5130936136012033,0.142549111952845,0.17556726469132025
ISL,2022,7.002222551968695,8.307,5.126666667,3.592,22.146,0.1666887950877534,0.5162065488733566,0.14509715253230202,0.17200750350658792
ISL,2023,2.7461093028253725,8.74,9.035,3.375,26.347,0.16378343858653227,0.5198235100597975,0.14758197170742407,0.16881107964624603
ISL,2024,-1.7117793975240714,5.859,9.485,3.367,24.037,0.16378343858653227,0.5198235100597975,0.14758197170742407,0.16881107964624603
ISR,1990,3.383721939269968,17.173,,9.567,17.67,0.28869181269346816,0.34006300111397164,0.012014304073554265,0.35923088211900595
ISR,1991,-1.489458425418655,19.006,,10.585,20.697,0.28307669037118954,0.3564623826554986,0.012210156741071121,0.3482507702322407
ISR,1992,3.449783664975148,11.948,11.87024122,11.155,21.439,0.27857974541468455,0.3680049454958588,0.01118917429423401,0.34222613479522257
ISR,1993,1.098608229298592,10.944,11.0924571,10.015,19.573,0.27526111153165184,0.3754990174094016,0.009409492051289357,0.3398303790076572
ISR,1994,4.320603921583621,12.342,12.80344853,7.828,18.334,0.2724509433598772,0.382537119494807,0.007578508211945117,0.33743342893337064
ISR,1995,6.743287692608724,10.043,14.70411217,6.863,24.188,0.26922052309370476,0.3893496386424847,0.006738424294669105,0.33469141396914154
ISR,1996,3.2974434026946886,11.277,15.666791,8.325,24.567,0.26726990373669557,0.39508939956285527,0.00961216564659861,0.32802853105385044
ISR,1997,1.1785611447962197,9.001,13.76988026,9.525,24.937,0.2656912908288058,0.40135328726445696,0.011368016813327542,0.32158740509340966
ISR,1998,1.529642686455812,5.435,11.94114708,10.675,25.331,0.26423381818056213,0.407226595557275,0.012889291105223726,0.3156502951569392
ISR,1999,0.8011338770498089,5.194,12.03709423,11.075,25.362,0.26272960818475294,0.41366686845225187,0.01424272678447593,0.3093607965785193
ISR,2000,5.698390166291545,1.125,9.045343111,10.9,24.247,0.2612771603176173,0.4199396173298804,0.0158456850592368,0.3029375372932655
ISR,2001,-2.067697528885992,1.116,6.531512358,11.625,24.084,0.26075166030828845,0.4253050408132164,0.016985927435574092,0.2969573714429211
ISR,2002,-2.071432127049333,5.687,7.167583007,12.875,23.324,0.26069286542716846,0.42879908862623034,0.018293179592497762,0.2922148663541034
ISR,2003,-0.36688997842661,0.67,6.611959484,13.4,23.478,0.261283350915449,0.43100842403757145,0.019490897795110408,0.28821732725186916
ISR,2004,2.8459078938477766,-0.414,4.26229058,12.9,24.259,0.2620929503955919,0.43313706734793767,0.020289361251835277,0.28448062100463517
ISR,2005,2.4118521234655743,1.329,3.881250251,11.2,26.593,0.2627399488065615,0.4356219919544675,0.02080495157252914,0.2808331076664418
ISR,2006,3.739014867834856,2.107,5.462432268,10.45,27.607,0.26363852942523713,0.43784288543967104,0.020489414755031424,0.27802917038006036
ISR,2007,4.224567925710998,0.516,4.255371621,9.15,27.483,0.26475335208629713,0.4401928630059369,0.019837959455393267,0.2752158254523727
ISR,2008,1.3677694188136913,4.594,3.561983221,7.65,24.228,0.26603553021088727,0.4424329949628108,0.019101912914859683,0.27242956191144224
ISR,2009,-1.136975579909183,3.317,0.639403098,9.425,24.325,0.2676969055088914,0.44377829548759823,0.018912431918753244,0.26961236708475717
ISR,2010,3.612630155233365,2.694,1.641669621,8.25,24.919,0.2698294950001602,0.44399940845621383,0.01954159445584446,0.2666295020877816
ISR,2011,3.5852818733200564,3.45,2.797905532,7.05,24.988,0.2713147095996566,0.44531501544801927,0.02004655989190237,0.2633237150604218
ISR,2012,0.6683592796020932,1.708,2.251856065,6.875,24.293,0.2725983747822377,0.44580400288888467,0.02154742766303521,0.2600501946658424
ISR,2013,2.1616599568722084,1.526,1.319207273,6.217,25.31,0.27364623668554605,0.4466865022345661,0.02293543779443489,0.256731823285453
ISR,2014,1.8051329514725545,0.476,0.546534655,5.9,27.09,0.2744691743722663,0.44819384238346377,0.024003533413640487,0.2533334498306294
ISR,2015,0.2279805309016946,-0.632,0.123024944,5.242,27.317,0.27519224886263144,0.4496303416337091,0.02536369313025226,0.24981371637340724
ISR,2016,2.4215226688302005,-0.545,0.106432033,4.825,26.824,0.27540378627030154,0.45272970888996356,0.028249542585568308,0.2436169622541666
ISR,2017,2.3546118231371205,0.242,0.115292949,4.225,26.813,0.27548878999865645,0.4557673461677762,0.030940157417129212,0.23780370641643817
ISR,2018,2.015668169929952,0.807,0.138578089,3.983,27.133,0.27513830826116337,0.4592075984365106,0.03336027985210221,0.23229381345022393
ISR,2019,1.7442834718739195,0.842,0.233698293,3.842,27.07,0.27445435007948044,0.46303593865832,0.03551446992506128,0.22699524133713828
