Country.ID,Year,gdp_p,cpi,interestrate,unem,savingrate,r_young,r_mid,r_old,r_imm,rr,inv,popgrowth,logoil
FIN,1994,3.963,1.614,5.35,16.7,20.605,24.990578187873595,54.5661854174501,18.62669018524962,1.8165462094266862,3.7359999999999998,19.784,0.43162166269621327,2.8
FIN,1995,4.233,0.398,5.75,15.5,24.138,24.90464567541892,54.39758531966763,18.745331394515087,1.9524376103983567,5.352,20.306,0.38251270006426363,2.9
FIN,1996,3.662,1.063,3.625,14.6,23.721,24.746475244045207,54.29182277692824,18.873317187399536,2.08838479162701,2.5620000000000003,20.203,0.32878337523720713,3.1
FIN,1997,6.398,1.217,3.231666667,12.7,26.463,24.55436412009903,54.19887449719597,19.022631653185602,2.2241297295193996,2.0146666669999997,21.709,0.2967676358292204,3.0
FIN,1998,5.454,1.349,3.568333333,11.5,27.677,24.3526324000475,54.06047445371617,19.227093644999524,2.3597995012368176,2.219333333,22.969,0.26504277786154606,2.7
FIN,1999,4.389,1.31,2.963488346,10.275,27.206,24.15411742021514,53.874579035279346,19.47575034130182,2.495553203203707,1.653488346,22.36,0.23222835995706514,3.0
FIN,2000,5.754,2.952,4.39176543,9.875,30.986,23.960098925824276,53.75077651053577,19.65779346109304,2.631331102546916,1.4397654300000005,23.825,0.2068621992459052,3.4
FIN,2001,2.64,2.665,4.261780438,9.2,30.81,23.754188294421844,53.46665006415803,19.938047070810537,2.8411145706095886,1.5967804379999997,23.134,0.22737716064571423,3.3
FIN,2002,1.687,2.007,3.318601627,9.175,29.837,23.51126785533673,53.24997798308101,20.189278202711797,3.0494759588704716,1.311601627,22.016,0.2423876309254558,3.3
FIN,2003,2.012,1.29,2.333474191,9.075,26.504,23.241581789982835,53.165074319651715,20.336408044957228,3.2569358454082193,1.043474191,22.188,0.23860956138066491,3.4
FIN,2004,4.005,0.147,2.10632298,8.875,28.435,22.994253414402195,52.920139215645776,20.624041247493373,3.46156612245866,1.9593229799999998,22.831,0.2914469816064136,3.7
FIN,2005,2.778,0.774,2.184689332,8.475,27.439,22.788606811712057,52.47257858340758,21.075718984186675,3.6630956206936913,1.410689332,24.561,0.3430277796267145,4.0
FIN,2006,4.019,1.275,3.079211845,7.775,27.895,22.64404827992765,51.84239476826617,21.72658268085248,3.786974270953705,1.8042118450000002,23.963,0.384372566040736,4.2
FIN,2007,5.313,1.583,4.277596427,6.95,29.547,22.5362196074279,51.11437571732994,22.441196435425653,3.9082082398165143,2.6945964269999996,25.518,0.4265561819029706,4.3
FIN,2008,0.784,3.916,4.634232681,6.425,27.757,22.411955711028977,50.42050281769955,23.14079539245944,4.026746078812025,0.7182326810000004,25.214,0.46640863272897626,4.6
FIN,2009,-8.076,1.634,1.22834975,8.325,23.433,22.272664567777763,49.78904565050588,23.794732074181056,4.143557707535312,-0.4056502499999999,21.437,0.47953495488837206,4.1
FIN,2010,3.168,1.686,0.810953933,8.5,23.934,22.12915229015892,49.23184677190127,24.378958637888758,4.26004230005106,-0.875046067,22.572,0.4587873826539468,4.4
FIN,2011,2.389,3.324,1.390599744,7.9,22.751,21.934139545725593,48.64309335829633,24.861798126698496,4.5609689692795845,-1.9334002559999999,24.302,0.46408490364371335,4.6
FIN,2012,-1.523,3.162,0.573181087,7.8,21.363,21.72427579273367,48.10307368629479,25.314276220331045,4.858374300640482,-2.588818913,23.593,0.4775306078551367,4.5
FIN,2013,-0.98,2.216,0.220661223,8.325,20.741,21.514276474231817,47.58593637532121,25.746206186996158,5.153580963450807,-1.9953387770000002,22.624,0.4632735876056948,4.6
FIN,2014,-0.478,1.209,0.209945672,8.825,20.786,21.308935119644417,47.09315661616454,26.149387258581786,5.448521005609259,-0.999054328,22.142,0.41608346158792386,4.5
FIN,2015,0.467,-0.156,-0.019375701,9.575,20.97,21.100503812468435,46.599692411150755,26.553960126594124,5.745843649786691,0.136624299,21.878,0.33018204641643845,3.9
FIN,2016,2.572,0.389,-0.263695659,8.975,21.583,20.912091397476722,46.15658099427001,26.942845096569556,5.988482511683716,-0.652695659,23.553,0.2874509497980515,3.8
FIN,2017,3.303,0.839,-0.329056116,8.825,23.624,20.73205158089578,45.72071797307238,27.314301658776884,6.232928787254946,-1.168056116,24.28,0.2352301505112564,3.9
FIN,2018,1.193,1.169,-0.322092958,7.417,24.081,20.53994965132943,45.31991874521199,27.657341861780377,6.4827897416781965,-1.491092958,25.692,0.13326020859794063,4.2
FIN,2019,1.35,1.137,-0.35631935,6.725,24.402,20.31394343722716,44.9602545130999,27.99220864220985,6.7335934074630925,-1.49331935,24.54,0.1091875944400078,4.0
FIN,2020,-2.491,0.383,-0.425159625,7.767,25.376,20.076887853976018,44.611999901620585,28.329573575867528,6.981538668535875,-0.808159625,24.953,0.142219173274305,3.7
FIN,2021,2.676,2.066,-0.548756293,7.617,25.094,19.91612638341838,44.45867453517594,28.65810334637232,6.967095735033364,-2.6147562929999997,24.764,0.20730206748684754,4.2
FIN,2022,0.763,7.172,0.341555419,6.783,24.846,19.755834621197394,44.32054195689619,28.99183541770697,6.931788004199453,-6.830444581,27.262,0.5093596459170513,4.6
FIN,2023,-0.947,4.34,3.430800561,7.208,22.437,19.540872195716425,44.17515720555943,29.391643965371266,6.892326633352887,-0.909199439,22.963,0.5725406375201025,4.4
FIN,2024,-0.134,0.975,3.57091273,8.4,21.994,19.324995476037866,44.04687973007723,29.75558321015012,6.872541583734779,2.59591273,21.689,0.2878854842425671,4.3
FRA,1990,2.793,0.323,10.3214,8.4,23.634,26.723858156866637,46.22654281399436,16.701744457517933,10.347854571621069,9.9984,24.417,0.5383365238847304,3.2
FRA,1991,1.292,3.403,9.615025,8.617,23.091,26.38770024880584,46.338837431804066,16.909833876549385,10.363628442840701,6.212024999999999,23.581,0.49363980113892314,3.1
FRA,1992,1.408,2.456,10.34461667,9.442,22.081,26.035164878315246,46.48518587566961,17.10075793759937,10.378891308415778,7.888616670000001,21.806,0.4946695624608921,3.0
FRA,1993,-0.425,2.235,8.586858333,10.267,19.993,25.687399427484863,46.6454090586406,17.26654986011422,10.400641653760303,6.351858333000001,19.295,0.42810712629530734,2.9
FRA,1994,2.403,1.664,5.846675,10.667,20.616,25.39999915344633,46.745922423804195,17.423282344968847,10.430796077780627,4.182675000000001,20.028,0.3435910872298997,2.8
FRA,1995,2.457,1.769,6.578183333,10.508,20.647,25.221140880334087,46.75366818472228,17.56332029567604,10.461870639267602,4.809183333,20.187,0.33161541845962983,2.9
FRA,1996,1.347,2.079,3.935625,10.833,20.433,25.122487562936424,46.71816838463482,17.66590334571777,10.493440706710974,1.8566249999999997,19.222,0.32382087339088983,3.1
FRA,1997,2.515,1.27,3.462833333,10.892,22.052,25.020946868171478,46.70122007230488,17.75294995651258,10.524883103011064,2.192833333,18.894,0.3220562418794426,3.0
FRA,1998,3.466,0.673,3.557108333,10.692,23.253,24.879235743707394,46.73648615174555,17.8321295209485,10.552148583598555,2.884108333,20.127,0.3588198876327331,2.7
FRA,1999,3.261,0.577,2.963488346,10.442,24.626,24.743784506892787,46.79108276136721,17.902965614670993,10.562167117069011,2.386488346,20.731,0.5195647357034261,3.0
FRA,2000,4.364,1.815,4.39176543,9.175,22.961,24.624460880819374,46.886239867006296,17.93394331707569,10.55535593509864,2.5767654300000005,21.858,0.67616457933517,3.4
FRA,2001,1.846,1.784,4.261780438,8.458,23.098,24.460170959489236,47.025507457604526,17.880015863416702,10.634305719489538,2.477780438,21.515,0.7084476639922066,3.3
FRA,2002,1.12,1.937,3.318601627,8.275,21.855,24.314485885383004,47.13096708803956,17.84252051411329,10.71202651246415,1.381601627,20.7,0.7046483625295696,3.3
FRA,2003,0.994,2.172,2.333474191,8.525,21.491,24.220485180176652,47.127016274994766,17.862367235852428,10.790131308976159,0.16147419099999993,20.651,0.6860540033253093,3.4
FRA,2004,2.519,2.335,2.10632298,8.867,21.9,24.14780036889594,47.05569400525424,17.932922754957758,10.863582870892069,-0.22867702000000012,21.364,0.714706875163218,3.7
FRA,2005,1.988,1.888,2.184689332,8.875,22.015,24.038617943435714,46.99438371082712,18.03377887089779,10.93321947483938,0.29668933200000014,21.911,0.7352410096132633,4.0
